Bandit,Reward,Algorithm
3,4.718176689242191,Thompson-Sampling
3,3.8409600393089156,Thompson-Sampling
3,4.929768546610252,Thompson-Sampling
3,2.6943510983290695,Thompson-Sampling
3,3.8135049779639494,Thompson-Sampling
3,4.628136062212246,Thompson-Sampling
3,3.7682828907275048,Thompson-Sampling
3,3.1964765527374954,Thompson-Sampling
3,1.5814128439563824,Thompson-Sampling
3,4.666731302506104,Thompson-Sampling
3,4.717624459974288,Thompson-Sampling
3,5.028209595819912,Thompson-Sampling
3,3.893912448383688,Thompson-Sampling
3,3.452818139212695,Thompson-Sampling
3,4.351819828316229,Thompson-Sampling
3,5.597191001791639,Thompson-Sampling
3,2.600642004944902,Thompson-Sampling
3,3.2277494914768816,Thompson-Sampling
3,4.749475041837379,Thompson-Sampling
3,2.466500653927324,Thompson-Sampling
3,4.9323106407977555,Thompson-Sampling
3,3.761493518388601,Thompson-Sampling
3,5.432001209007055,Thompson-Sampling
3,4.864207634751693,Thompson-Sampling
3,4.990386733694463,Thompson-Sampling
3,4.946917142164243,Thompson-Sampling
3,2.3921123748194115,Thompson-Sampling
3,4.327221928220842,Thompson-Sampling
3,4.14324613785368,Thompson-Sampling
3,4.421486683566912,Thompson-Sampling
3,4.2565722773520855,Thompson-Sampling
3,3.44583083515405,Thompson-Sampling
3,2.0246718741468186,Thompson-Sampling
3,3.4294860706385526,Thompson-Sampling
3,3.377341710282557,Thompson-Sampling
3,4.731579719215662,Thompson-Sampling
3,4.222716643613381,Thompson-Sampling
3,4.703000302046794,Thompson-Sampling
3,3.7342180973804036,Thompson-Sampling
3,3.494630662509752,Thompson-Sampling
3,4.8452988471499845,Thompson-Sampling
3,3.0133414752248644,Thompson-Sampling
3,2.694281491640322,Thompson-Sampling
3,4.993906311375624,Thompson-Sampling
3,4.372112699133382,Thompson-Sampling
3,3.40106059925575,Thompson-Sampling
3,3.147980030372012,Thompson-Sampling
3,4.31557290056927,Thompson-Sampling
3,5.423257364336322,Thompson-Sampling
3,3.0246111209940705,Thompson-Sampling
3,4.854394677330125,Thompson-Sampling
3,3.629257613835159,Thompson-Sampling
3,4.530113178382623,Thompson-Sampling
3,3.6073982563255664,Thompson-Sampling
3,3.834942987245663,Thompson-Sampling
3,4.703964653518656,Thompson-Sampling
3,1.8534670676084377,Thompson-Sampling
3,4.81386184124788,Thompson-Sampling
3,2.595895587809154,Thompson-Sampling
3,2.863288204977748,Thompson-Sampling
3,3.3714532403141084,Thompson-Sampling
3,3.1392911109614117,Thompson-Sampling
3,3.7792989224023668,Thompson-Sampling
3,2.641607564037595,Thompson-Sampling
3,2.5898678673181847,Thompson-Sampling
3,3.7588492088090772,Thompson-Sampling
3,3.94464532961351,Thompson-Sampling
3,4.456820876440588,Thompson-Sampling
3,4.977380158807768,Thompson-Sampling
3,5.432741265461541,Thompson-Sampling
3,4.588943234257274,Thompson-Sampling
3,3.9810962594970203,Thompson-Sampling
3,2.336821072253481,Thompson-Sampling
3,4.469468578297392,Thompson-Sampling
3,4.391293304644211,Thompson-Sampling
3,3.18403663986168,Thompson-Sampling
3,3.8034544852885466,Thompson-Sampling
3,5.363813272446473,Thompson-Sampling
3,4.74198641668204,Thompson-Sampling
3,3.8987900412424463,Thompson-Sampling
3,4.369476475472901,Thompson-Sampling
3,4.123004819019683,Thompson-Sampling
3,4.403391809074743,Thompson-Sampling
3,3.9883406086568782,Thompson-Sampling
3,3.2160788842035015,Thompson-Sampling
3,3.407774494108034,Thompson-Sampling
3,6.189005025995671,Thompson-Sampling
3,3.6082532708834836,Thompson-Sampling
3,4.734454107975989,Thompson-Sampling
3,2.64962813376071,Thompson-Sampling
3,3.700721002006953,Thompson-Sampling
3,4.608029204026548,Thompson-Sampling
3,3.6214045133673993,Thompson-Sampling
3,3.083375418077422,Thompson-Sampling
3,4.82871648233032,Thompson-Sampling
3,3.702557333813836,Thompson-Sampling
3,5.255984467365154,Thompson-Sampling
3,4.141146108749076,Thompson-Sampling
3,3.3213061797004846,Thompson-Sampling
3,5.540660334149025,Thompson-Sampling
3,4.425575792093754,Thompson-Sampling
3,5.34901631770732,Thompson-Sampling
3,4.414957740471981,Thompson-Sampling
3,3.055871289595087,Thompson-Sampling
3,4.950728960926619,Thompson-Sampling
3,4.698739239277531,Thompson-Sampling
3,3.9539967963549234,Thompson-Sampling
3,4.853353163814262,Thompson-Sampling
3,3.502067497488942,Thompson-Sampling
3,2.6745191304027776,Thompson-Sampling
3,3.9167080481920937,Thompson-Sampling
3,5.150893597667386,Thompson-Sampling
3,3.324056731885258,Thompson-Sampling
3,3.4031493401140978,Thompson-Sampling
3,4.920191626414196,Thompson-Sampling
3,4.276559835498584,Thompson-Sampling
3,4.9721604558946595,Thompson-Sampling
3,4.4835123098508785,Thompson-Sampling
3,5.028375348994323,Thompson-Sampling
3,4.262138166557117,Thompson-Sampling
3,3.598108932141767,Thompson-Sampling
3,4.363947580246373,Thompson-Sampling
3,4.75030681464251,Thompson-Sampling
3,5.406262185069204,Thompson-Sampling
3,4.7103082345605936,Thompson-Sampling
3,2.605415095337509,Thompson-Sampling
3,4.114464978314797,Thompson-Sampling
3,4.898954554146406,Thompson-Sampling
3,5.208339464073168,Thompson-Sampling
3,4.567086560796784,Thompson-Sampling
3,4.51837963837456,Thompson-Sampling
3,4.218180625341012,Thompson-Sampling
3,4.645321935701542,Thompson-Sampling
3,3.1108426287734283,Thompson-Sampling
3,3.6657066285383544,Thompson-Sampling
3,4.515259533698636,Thompson-Sampling
3,6.777605573028865,Thompson-Sampling
3,3.049530295972909,Thompson-Sampling
